MONTH,VKORG,REGIO,VTWEG,NETWR,WAERK
2026-01,1000,华东,10,850000,CNY
2026-01,1000,华北,10,620000,CNY
2026-01,1000,华南,10,730000,CNY
2026-01,1000,华西,10,410000,CNY
2026-02,1000,华东,10,920000,CNY
2026-02,1000,华北,10,580000,CNY
2026-02,1000,华南,10,810000,CNY
2026-02,1000,华西,10,390000,CNY
2026-03,1000,华东,10,1050000,CNY
2026-03,1000,华北,10,670000,CNY
2026-03,1000,华南,10,890000,CNY
2026-03,1000,华西,10,460000,CNY
2026-04,1000,华东,10,980000,CNY
2026-04,1000,华北,10,710000,CNY
2026-04,1000,华南,10,750000,CNY
2026-04,1000,华西,10,430000,CNY
2026-05,1000,华东,10,1120000,CNY
2026-05,1000,华北,10,690000,CNY
2026-05,1000,华南,10,830000,CNY
2026-05,1000,华西,10,500000,CNY
